country,year,dad,mom,daughter,son,continent
Nigeria,1980,7.277461052,5.179782391,8.216520309,10.82295609,Africa
Norway,1940,9.635315895,9.049228668,12.42233276,12.47177505,Europe
Norway,1950,10.3564024,9.49238205,13.34928322,13.08743477,Europe
Norway,1960,11.20377064,9.973267555,13.92342758,13.27671719,Europe
Norway,1970,12.29891014,11.78238869,15.0266304,14.11303902,Europe
Norway,1980,13.0891161,12.9726553,14.86856461,14.29087734,Europe
Pakistan,1940,1.055481195,0.143732935,0.627079546,3.274583101,Asia
Pakistan,1950,1.462126136,0.186511129,1.025036216,4.297616959,Asia
Pakistan,1960,2.22739768,0.390536815,1.939568162,5.364247322,Asia
Pakistan,1970,2.267187119,0.502528429,2.35473156,5.276717663,Asia
Pakistan,1980,4.415769577,2.547562838,8.311530113,7.368855476,Asia
Panama,1940,3.805719614,3.426160812,7.845970154,7.57216835,Americas
Panama,1950,4.559483051,4.047669888,9.418124199,9.322463989,Americas
Panama,1960,5.232190609,4.692994595,10.45928288,9.664753914,Americas
Panama,1970,6.595434666,6.06370163,10.78854275,10.29813576,Americas
